Observation station,Year,Month,Day,Time [Local time],Inhalable particles <10 µm [µg/m3]
"Muonio Sammaltunturi","2023","12","11","01:00","6.1"
"Muonio Sammaltunturi","2023","12","11","02:00","6.9"
"Muonio Sammaltunturi","2023","12","11","03:00","5.4"
"Muonio Sammaltunturi","2023","12","11","04:00","5.1"
"Muonio Sammaltunturi","2023","12","11","05:00","5.5"
"Muonio Sammaltunturi","2023","12","11","06:00","6.6"
"Muonio Sammaltunturi","2023","12","11","07:00","6.5"
"Muonio Sammaltunturi","2023","12","11","08:00","5.3"
"Muonio Sammaltunturi","2023","12","11","09:00","6.1"
"Muonio Sammaltunturi","2023","12","11","10:00","7.2"
"Muonio Sammaltunturi","2023","12","11","11:00","6.9"
"Muonio Sammaltunturi","2023","12","11","12:00","7"
"Muonio Sammaltunturi","2023","12","11","13:00","6.6"
"Muonio Sammaltunturi","2023","12","11","14:00","6.3"
"Muonio Sammaltunturi","2023","12","11","15:00","5.6"
"Muonio Sammaltunturi","2023","12","11","16:00","5.7"
"Muonio Sammaltunturi","2023","12","11","17:00","6.5"
"Muonio Sammaltunturi","2023","12","11","18:00","6.5"